src_node,dest_node,nodesList,distance,linksList,numHops
0,29,"[0, 13, 12, 1, 31, 35, 23, 29]",39.0,"[2, 60, 10, 12, 98, 83, 82]",7
0,29,"[0, 13, 12, 1, 31, 138, 137, 136, 19, 28, 29]",57.0,"[2, 60, 10, 12, 99, 204, 203, 75, 73, 91]",10
0,29,"[0, 13, 143, 144, 142, 12, 1, 31, 28, 29]",58.0,"[2, 63, 208, 207, 62, 10, 12, 92, 91]",9
0,29,"[0, 13, 12, 1, 31, 28, 135, 133, 134, 29]",60.0,"[2, 60, 10, 12, 92, 93, 202, 201, 94]",9
0,30,"[0, 13, 12, 1, 31, 28, 19, 30]",25.0,"[2, 60, 10, 12, 92, 73, 74]",7
0,30,"[0, 13, 12, 1, 31, 35, 23, 29, 28, 19, 30]",49.0,"[2, 60, 10, 12, 98, 83, 82, 91, 73, 74]",10
0,30,"[0, 13, 12, 1, 31, 138, 137, 136, 19, 30]",51.0,"[2, 60, 10, 12, 99, 204, 203, 75, 74]",9
0,30,"[0, 13, 12, 1, 21, 36, 38, 152, 30]",52.0,"[2, 60, 10, 11, 78, 106, 117, 96]",8
0,30,"[0, 13, 12, 1, 21, 36, 38, 30]",54.0,"[2, 60, 10, 11, 78, 106, 95]",7
0,31,"[0, 13, 12, 1, 31]",18.0,"[2, 60, 10, 12]",4
0,31,"[0, 13, 143, 144, 142, 12, 1, 31]",49.0,"[2, 63, 208, 207, 62, 10, 12]",7
0,31,"[0, 16, 17, 2, 11, 1, 31]",51.0,"[5, 67, 16, 15, 9, 12]",6
0,31,"[0, 2, 11, 1, 31]",51.33,"[0, 15, 9, 12]",4
0,31,"[0, 13, 12, 1, 21, 36, 38, 152, 30, 19, 28, 31]",59.0,"[2, 60, 10, 11, 78, 106, 117, 96, 74, 73, 92]",11
0,32,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 124, 24, 25, 119, 118, 120, 34, 32]",121.0,"[2, 60, 10, 12, 92, 73, 74, 44, 45, 86, 85, 88, 191, 192, 104, 100]",16
0,32,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 24, 25, 119, 118, 120, 34, 32]",123.0,"[2, 60, 10, 12, 92, 73, 74, 44, 42, 85, 88, 191, 192, 104, 100]",15
0,32,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 125, 124, 24, 25, 119, 118, 120, 34, 32]",128.0,"[2, 60, 10, 12, 92, 73, 74, 44, 46, 195, 86, 85, 88, 191, 192, 104, 100]",17
0,32,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 125, 126, 24, 25, 119, 118, 120, 34, 32]",133.0,"[2, 60, 10, 12, 92, 73, 74, 44, 46, 196, 87, 85, 88, 191, 192, 104, 100]",17
0,32,"[0, 13, 12, 1, 11, 128, 129, 127, 26, 7, 116, 117, 115, 10, 32]",137.0,"[2, 60, 10, 9, 58, 198, 197, 89, 40, 41, 190, 189, 55, 54]",14
0,33,"[0, 13, 12, 33]",32.0,"[2, 60, 61]",3
0,33,"[0, 13, 12, 1, 11, 37, 33]",39.0,"[2, 60, 10, 9, 57, 102]",6
0,33,"[0, 16, 17, 2, 11, 37, 33]",62.0,"[5, 67, 16, 15, 57, 102]",6
0,33,"[0, 2, 11, 37, 33]",62.33,"[0, 15, 57, 102]",4
0,33,"[0, 13, 143, 144, 142, 12, 33]",63.0,"[2, 63, 208, 207, 62, 61]",6
0,34,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 124, 24, 25, 119, 118, 120, 34]",88.0,"[2, 60, 10, 12, 92, 73, 74, 44, 45, 86, 85, 88, 191, 192, 104]",15
0,34,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 24, 25, 119, 118, 120, 34]",90.0,"[2, 60, 10, 12, 92, 73, 74, 44, 42, 85, 88, 191, 192, 104]",14
0,34,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 125, 124, 24, 25, 119, 118, 120, 34]",95.0,"[2, 60, 10, 12, 92, 73, 74, 44, 46, 195, 86, 85, 88, 191, 192, 104]",16
0,34,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 125, 126, 24, 25, 119, 118, 120, 34]",100.0,"[2, 60, 10, 12, 92, 73, 74, 44, 46, 196, 87, 85, 88, 191, 192, 104]",16
0,34,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 124, 125, 126, 24, 25, 119, 118, 120, 34]",109.0,"[2, 60, 10, 12, 92, 73, 74, 44, 45, 195, 196, 87, 85, 88, 191, 192, 104]",17
0,35,"[0, 13, 12, 1, 31, 35]",25.0,"[2, 60, 10, 12, 98]",5
0,35,"[0, 13, 12, 1, 31, 28, 29, 23, 35]",41.0,"[2, 60, 10, 12, 92, 91, 82, 83]",8
0,35,"[0, 14, 3, 18, 35]",52.0,"[3, 19, 20, 71]",4
0,35,"[0, 3, 18, 35]",52.1,"[1, 20, 71]",3
0,35,"[0, 13, 12, 1, 21, 130, 132, 131, 35]",54.0,"[2, 60, 10, 11, 79, 199, 200, 105]",8
0,36,"[0, 13, 12, 1, 21, 36]",31.0,"[2, 60, 10, 11, 78]",5
0,36,"[0, 13, 12, 1, 31, 28, 19, 30, 152, 38, 36]",46.0,"[2, 60, 10, 12, 92, 73, 74, 96, 117, 106]",10
0,36,"[0, 13, 12, 1, 31, 28, 19, 30, 38, 36]",48.0,"[2, 60, 10, 12, 92, 73, 74, 95, 106]",9
0,36,"[0, 13, 143, 144, 142, 12, 1, 21, 36]",62.0,"[2, 63, 208, 207, 62, 10, 11, 78]",8
0,36,"[0, 13, 12, 1, 31, 28, 19, 30, 152, 150, 151, 38, 36]",63.0,"[2, 60, 10, 12, 92, 73, 74, 96, 216, 215, 116, 106]",12
0,37,"[0, 13, 12, 1, 11, 37]",33.0,"[2, 60, 10, 9, 57]",5
0,37,"[0, 13, 12, 33, 37]",38.0,"[2, 60, 61, 102]",4
0,37,"[0, 16, 17, 2, 11, 37]",56.0,"[5, 67, 16, 15, 57]",5
0,37,"[0, 2, 11, 37]",56.33,"[0, 15, 57]",3
0,37,"[0, 13, 12, 33, 146, 145, 37]",64.0,"[2, 60, 61, 103, 209, 112]",6
0,38,"[0, 13, 12, 1, 31, 28, 19, 30, 152, 38]",36.0,"[2, 60, 10, 12, 92, 73, 74, 96, 117]",9
0,38,"[0, 13, 12, 1, 31, 28, 19, 30, 38]",38.0,"[2, 60, 10, 12, 92, 73, 74, 95]",8
0,38,"[0, 13, 12, 1, 21, 36, 38]",41.0,"[2, 60, 10, 11, 78, 106]",6
0,38,"[0, 13, 12, 1, 31, 28, 19, 30, 152, 150, 151, 38]",53.0,"[2, 60, 10, 12, 92, 73, 74, 96, 216, 215, 116]",11
0,38,"[0, 13, 12, 1, 31, 28, 19, 30, 153, 152, 38]",56.0,"[2, 60, 10, 12, 92, 73, 74, 97, 217, 117]",10
1,0,"[1, 12, 13, 0]",15.0,"[10, 60, 2]",3
1,0,"[1, 12, 142, 144, 143, 13, 0]",46.0,"[10, 62, 207, 208, 63, 2]",6
1,0,"[1, 11, 2, 17, 16, 0]",48.0,"[9, 15, 16, 67, 5]",5
1,0,"[1, 11, 2, 0]",48.33,"[9, 15, 0]",3
1,0,"[1, 11, 37, 33, 12, 13, 0]",56.0,"[9, 57, 102, 61, 60, 2]",6
1,2,"[1, 11, 2]",14.0,"[9, 15]",2
1,2,"[1, 12, 13, 0, 16, 17, 2]",49.0,"[10, 60, 2, 5, 67, 16]",6
1,2,"[1, 12, 13, 0, 2]",49.33,"[10, 60, 2, 0]",4
1,2,"[1, 12, 33, 37, 11, 2]",55.0,"[10, 61, 102, 57, 15]",5
1,2,"[1, 31, 28, 19, 30, 8, 124, 24, 4, 2]",66.44999999999999,"[12, 92, 73, 74, 44, 45, 86, 25, 14]",9
1,3,"[1, 31, 35, 18, 3]",36.0,"[12, 98, 71, 20]",4
1,3,"[1, 3]",36.14,[7],1
1,3,"[1, 12, 13, 0, 14, 3]",41.0,"[10, 60, 2, 3, 19]",5
1,3,"[1, 12, 13, 0, 3]",41.1,"[10, 60, 2, 1]",4
1,3,"[1, 31, 28, 29, 23, 35, 18, 3]",52.0,"[12, 92, 91, 82, 83, 71, 20]",7
1,4,"[1, 31, 28, 19, 30, 8, 124, 24, 4]",37.12,"[12, 92, 73, 74, 44, 45, 86, 25]",8
1,4,"[1, 31, 28, 19, 30, 8, 24, 4]",39.12,"[12, 92, 73, 74, 44, 42, 25]",7
1,4,"[1, 11, 2, 4]",43.33,"[9, 15, 14]",3
1,4,"[1, 31, 28, 19, 30, 8, 125, 124, 24, 4]",44.12,"[12, 92, 73, 74, 44, 46, 195, 86, 25]",9
1,4,"[1, 31, 28, 19, 30, 8, 125, 126, 24, 4]",49.12,"[12, 92, 73, 74, 44, 46, 196, 87, 25]",9
1,5,"[1, 31, 35, 23, 5]",20.31,"[12, 98, 83, 29]",4
1,5,"[1, 31, 28, 29, 23, 5]",28.31,"[12, 92, 91, 82, 29]",5
1,5,"[1, 21, 130, 132, 131, 35, 23, 5]",49.31,"[11, 79, 199, 200, 105, 83, 29]",7
1,5,"[1, 31, 28, 19, 30, 8, 27, 23, 5]",56.31,"[12, 92, 73, 74, 44, 43, 81, 29]",8
1,5,"[1, 31, 138, 137, 136, 19, 28, 29, 23, 5]",58.31,"[12, 99, 204, 203, 75, 73, 91, 82, 29]",9
1,6,"[1, 11, 128, 129, 127, 26, 7, 6]",68.0,"[9, 58, 198, 197, 89, 40, 35]",7
1,6,"[1, 11, 129, 127, 26, 7, 6]",69.0,"[9, 59, 197, 89, 40, 35]",6
1,6,"[1, 31, 28, 19, 30, 8, 124, 24, 4, 26, 7, 6]",85.96,"[12, 92, 73, 74, 44, 45, 86, 25, 26, 40, 35]",11
1,6,"[1, 31, 28, 19, 30, 8, 124, 24, 25, 9, 6]",87.0,"[12, 92, 73, 74, 44, 45, 86, 85, 47, 36]",10
1,6,"[1, 31, 28, 19, 30, 8, 24, 4, 26, 7, 6]",87.95999999999998,"[12, 92, 73, 74, 44, 42, 25, 26, 40, 35]",10
1,7,"[1, 11, 128, 129, 127, 26, 7]",48.0,"[9, 58, 198, 197, 89, 40]",6
1,7,"[1, 11, 129, 127, 26, 7]",49.0,"[9, 59, 197, 89, 40]",5
1,7,"[1, 31, 28, 19, 30, 8, 124, 24, 4, 26, 7]",65.96,"[12, 92, 73, 74, 44, 45, 86, 25, 26, 40]",10
1,7,"[1, 31, 28, 19, 30, 8, 24, 4, 26, 7]",67.95999999999998,"[12, 92, 73, 74, 44, 42, 25, 26, 40]",9
1,7,"[1, 11, 2, 4, 26, 7]",72.17,"[9, 15, 14, 26, 40]",5
