primary_path,secondary_path,numHops_secondary,distance_secondary
1566.0,1568.0,3.0,25.0
1568.0,1566.0,1.0,5.0
1571.0,1572.0,2.0,17.0
1570.0,1572.0,2.0,17.0
1572.0,1571.0,1.0,14.0
1572.0,1570.0,2.0,13.0
1573.0,1574.0,3.0,24.0
1574.0,1573.0,1.0,8.0
1576.0,1575.0,3.0,20.0
1575.0,1576.0,1.0,12.0
1577.0,1578.0,2.0,16.0
1578.0,1577.0,2.0,16.0
1580.0,1579.0,2.0,26.0
1579.0,1580.0,2.0,13.0
1582.0,1581.0,3.0,34.0
1581.0,1582.0,1.0,5.0
1583.0,1584.0,3.0,25.0
1584.0,1583.0,1.0,14.0
1585.0,1586.0,3.0,17.0
1586.0,1585.0,1.0,14.0
1588.0,1587.0,2.0,18.0
1587.0,1588.0,2.0,13.0
1590.0,1589.0,3.0,23.0
1589.0,1590.0,1.0,8.0
1592.0,1591.0,3.0,21.0
1591.0,1592.0,1.0,12.0
1593.0,1594.0,3.0,21.0
1594.0,1593.0,1.0,12.0
1596.0,1595.0,2.0,17.0
1595.0,1596.0,2.0,16.0
1597.0,1598.0,3.0,31.0
1598.0,1597.0,1.0,5.0
1600.0,1599.0,3.0,24.0
1599.0,1600.0,1.0,12.0
1602.0,1601.0,2.0,19.0
1601.0,1602.0,2.0,17.0
1605.0,1603.0,2.0,20.0
1605.0,1604.0,3.0,31.0
1603.0,1605.0,1.0,12.0
1603.0,1606.0,2.0,23.0
1603.0,1607.0,3.0,29.0
1606.0,1603.0,2.0,20.0
1606.0,1604.0,3.0,31.0
1607.0,1603.0,2.0,20.0
1607.0,1604.0,3.0,31.0
1604.0,1605.0,1.0,12.0
1604.0,1606.0,2.0,23.0
1604.0,1607.0,3.0,29.0
1608.0,1609.0,2.0,19.0
1608.0,1610.0,3.0,30.0
1608.0,1611.0,3.0,30.0
1608.0,1612.0,4.0,36.0
1608.0,1613.0,4.0,41.0
1608.0,1614.0,5.0,47.0
1609.0,1608.0,1.0,13.0
1610.0,1608.0,1.0,13.0
1611.0,1608.0,1.0,13.0
